pubmed_id,findings
pmc2315644,"in the study ""effectiveness of mindfulness-based therapy in reducing symptoms of depression and anxiety,"" the authors found that mindfulness-based therapy significantly reduced symptoms of depression and anxiety in participants with these disorders. in the article ""the impact of social media use on mental health,"" the authors identified that excessive use of social media is associated with increased symptoms of depression, anxiety, and poor sleep quality. in the review ""cognitive behavioural therapy for depression and anxiety disorders  a systematic review,"" the authors concluded that cognitive behavioral therapy is an effective treatment for both depression and anxiety disorders. in the research paper ""the association between childhood trauma and mental health outcomes,"" the authors discovered that individuals with a history of childhood trauma are at higher risk for developing mental health disorders in adulthood. in the article ""the effectiveness of exercise in reducing symptoms of depression and anxiety,"" the authors established that regular exercise can significantly reduce symptoms of depression and anxiety."
pmc4130433,"the current ebola virus disease outbreaks in africa have persisted over the years, with the first reported case in 1976 in sudan and the democratic republic of the congo  drc . since then, outbreaks have been identified in several african countries, including guinea, liberia, sierra leone, and the democratic republic of the congo  drc  in west africa, as well as in other regions such as central africa, east africa, and southern africa. the outbreaks in guinea, liberia, and sierra leone in west africa have resulted in a total of 460 cases with 339 fatalities, as of march 21, 2014. the ebola virus disease outbreaks in africa have presented challenges and opportunities in responding to emerging infectious diseases, including neglected tropical diseases  ntds  prevention, control, and management, as well as health system coverage and service delivery bottlenecks. these challenges and opportunities have included widespread ignorance, lack of knowledge, and potential panic over ebola virus disease, resulting in trepidation, isolation, dignity impoundment, stigmatization, and ostracism from associated socio-ecological and public health consequences. to combat ebola virus disease outbreaks and other emerging infectious diseases, there is an urgent need for accelerating the response through the provision of minimum essential information on risk communication for behavioral impact, developmental communication and health promotion/education personnel and communities, working in multidisciplinary teams to respond to the disease outbreaks. this includes harnessing all stakeholders' collaboration, communication, and networking, including communities, to improve community participation, informal and formal health education, ownership, and empowerment of the programs and to ensure human rights for all ages at all levels. the development of new tools, strategies, and approaches, such as improved diagnostics, novel therapies including vaccines, is needed to prevent, control, and contain ebola virus disease and other emerging infectious diseases, such as sars, bird flu, lassa fever, dengue, and mers outbreaks. developing surveillance response systems against emerging infectious diseases and controlling and eliminating ntds, as well as early warning and emergency systems, cannot be overemphasized. concerted actions to empower communities"
pmc6468216,"in saudi arabia, breast cancer is the most common cancer among saudi arabian women.  instruction  this finding is important because it highlights the need for increased awareness and resources for breast cancer screening and prevention programs among saudi arabian women.  the incidence rate of hepatitis b in saudi arabia has decreased by 30.6% from 2003 to 2016.  instruction  this finding is important because it indicates a decrease in the incidence rate of this infectious disease, which may be attributed to effective prevention and control measures.  the prevalence of diabetes among saudi arabian men and women has increased significantly from 1970-1979 to 2015-2016.  instruction  this finding is important because it highlights the need for increased awareness and resources for diabetes screening, prevention, and management programs among saudi arabian men and women.  the incidence rate of dengue fever in saudi arabia has increased significantly from 2004 to 2016.  instruction  this finding is important because it indicates a significant increase in the incidence rate of this infectious disease, which may require further investigation and measures for prevention and control.  the prevalence of obesity among saudi arabian children has increased significantly from 1990-1999 to 2015-2016.  instruction  this finding is important because it highlights the need for increased awareness and resources for obesity screening, prevention, and management programs among saudi arabian children. "
pmc3130781,"ceacam1 is a protein expressed on the cell surface of t cells that plays a role in t cell activation, trafficking, and proliferation. mice deficient in ceacam1 exhibit increased t cell activation and proliferation, as well as increased numbers of t cells in various organs. ceacam1-deficient t cells also exhibit increased sensitivity to radiation-induced gastrointestinal toxicity, potentially due to decreased radiation-induced apoptosis. ceacam1-deficient mice also have increased numbers of t cells in the liver, potentially due to decreased radiation-induced apoptosis in liver t cells. ceacam1-deficient t cells show decreased radiation-induced apoptosis in gut epithelial cells, potentially due to decreased wnt signaling in these cells. ceacam1-deficient t cells also exhibit increased numbers of t cells in the skin, potentially due to decreased apoptosis in skin t cells. ceacam1-deficient t cells show decreased activation and proliferation in response to allogeneic hematopoietic stem cells  hscs , potentially due to decreased hsc-derived t cell homing to the liver and skin. ceacam1-deficient mice also exhibit increased sensitivity to radiation-induced gastrointestinal toxicity in response to allogeneic hscs, potentially due to decreased hsc-derived t cell homing to the liver and skin. ceacam1-deficient t cells show decreased activation and proliferation in response to allogeneic hscs, potentially due to decreased hsc-derived t cell homing to the liver and skin. ceacam1-deficient t cells also exhibit decreased activation and proliferation in response to allogeneic hscs in the liver and skin, potentially due to decreased hsc-derived t cell homing to these organs. ceacam1-deficient mice also exhibit decreased activation and proliferation in response to allogeneic hscs in the liver and skin, potentially due to decreased hsc-derived t cell"
pmc1618487,"in a study examining the spread of infectious diseases on random and scale-free networks, it was found that in random networks, epidemic spread is much slower, and the average degree of new infectious nodes is close to the average degree k=〈k〉. this is due to the relatively slow time-scale of the disease and the virtually degree-independent spread of the disease, which helps contact tracing to follow the disease closely and to control it if the tracing rate is high enough. in scale-free networks, the disease turnover time is fast, and the disease preferentially spreads to nodes with high degree. however, highly connected nodes are typically traced at a later disease stage, and only ‘intelligent’ tracing  for example through prior knowledge of who may be most highly connected  would be effective. examination of disease transmission on different network topologies can help identify trademark signatures of different disease models spreading on different network architectures. the average degree of exposed and traced nodes is delayed with respect to the degree of traced and infectious nodes in scale-free networks. this is directly connected to the latency period, since infectious nodes traced at a given time in the epidemic represent a set of nodes that were infected on average a time lat_p earlier in the epidemic, and therefore are of higher average degree than the traced and exposed nodes. while epidemic spread on scale-free networks has recently been the subject of much interest, to our knowledge there has been no quantitative comparison of the differences in disease control efficacy on scale-free and random networks. the main advantage of contact tracing on both network types is that it can make a real difference if the tracing rate of susceptible nodes is low. however, should contacts between nodes be highly clustered, the removal of susceptible nodes can reduce the local susceptible neighbourhood surrounding infectious nodes, rendering it an effective means of disease control. in a study examining disease transmission on different network topologies, it was found that a major role in infectious disease spread is played by the underlying contact structure. however, in most cases, the exact contact structure is difficult to determine. understanding how to best use the available data about a network on which disease can spread in order to better prevent or control epidemics is, therefore, imperative. the study suggests that by analyzing disease"
pmc3528286,"the study describes the isolation and characterization of a novel alpaca coronavirus, named acov, during an outbreak of severe respiratory disease and associated abortions in alpaca in 2007. similarities between the whole genome sequences of acov and human coronavirus 229e, a virus first isolated around 1960, suggest a transmission event between humans and alpacas. molecular studies suggest the possibility that the speculative transmission event between humans and camelids was recent, as the evolutionary ancestor appears more closely related to hcov-229e viruses isolated around 1960, and acovs may have been circulating for decades at low levels in alpaca populations. most alphacoronaviruses, including acov, utilize aminopeptidase n, a host receptor, and host tropism differences of viruses are caused by the ability of their spike proteins to detect small species-specific amino acid differences in the aminopeptidase n. despite the host specificity of this receptor, all of those viruses are known to bind and utilize feline aminopeptidase n, suggesting a common coronavirus ancestor infecting feline species around 1960. the study suggests that vaccines targeting betacoronaviruses will likely not prevent infection with alphacoronaviruses, such as acov, due to the different cell entry mechanism. the spike gene has the critical role of virus entry and membrane fusion processes in the host cell, and evolutionary studies monitoring hcov-229e strains suggest the mutation patterns can be associated with geographic origin, rather than with virulence patterns. the study provides strong evidence of an evolutionary relationship between hcov-229e and acov, and whether the virus represents a recent cross-species transmission or a more distant transmission between humans and alpacas is yet to be determined. the study suggests that the acov has an extra putative orf “x” overlapping the 3' end of the nucleocapsid gene, and further laboratory experiments will be required to determine if this gene is expressed and whether"
pmc5021412,"the study identified imatinib, a drug initially approved by the us food and drug administration  fda  to target the bcr-abl protein in leukemia, as a potent inhibitor of replication of both sars-cov and mers-cov viruses. the study found that imatinib inhibited the early stages of the viral life cycle for both sars-cov and mers-cov viruses, suggesting that imatinib exerts its action after viral entry but prior to viral genome replication. the study demonstrated that an sirna-mediated knockdown of the abl2 protein, but not abl1, resulted in a decrease in virus replication for both sars-cov and mers-cov viruses, suggesting that the abl2 protein is required for efficient virus replication. the study identified abl2 as a novel host cell protein involved in coronavirus virion replication and hypothesized that abl2 is required for virion fusion at the endosomal membrane by a mechanism that is under investigation. the study found that treatment with imatinib, even though abl2 is in its open, active conformation, prevented phosphorylation of downstream targets, as atp is unable to bind in the active site, and as a consequence, the kinase activity of abl2 is inhibited, preventing phosphorylation of proteins targeted by abl2."
pmc6433989,"an atg5 homolog from orange-spotted grouper  ecatg5  was cloned and its roles during fish virus infection were investigated. ecatg5 encoded a 275-amino acid protein that shared 94% and 81% identity to seabass  lates calcarifer  and humans  homo sapiens , respectively. ecatg5 functions as an e3 ligase-like enzyme and is involved in many metabolic pathways among the tissues. ecatg5 promoted sgiv and rgnnv replication by positively regulating autophagy activity and negatively regulating antiviral ifn responses. ecatg5 affected cell cycle progression from the g1 to the s phase and arrested cells in the g1 phase. ecatg5 down-regulated expression levels of several interferon related cytokines or effectors and negatively regulated the expression of pro-inflammatory factors."
pmc3147911,"in a study examining the molecular epidemiology of canine parvovirus  cpv  in the united kingdom, researchers found that despite the global spread of cpv-2, only cpv-2a and cpv-2b viruses were circulating in the united kingdom, and the majority of viruses did not cluster based on these key amino acid mutations. the study also identified 50 different dna sequence types in the 150 viruses analyzed, with 32 unique amino acid sequences identified, indicating limited opportunities for global transmission of cpv. the study revealed that within the united kingdom, there was evidence of significant geographic clustering in some areas, such as the most prevalent virus in the liverpool region, which was present over a period of two years and rarely found elsewhere. this suggests that some cpv sequence types may have restricted opportunities for spread, even within countries. the variability in the full cpv vp2 gene sequence enabled the researchers to investigate the molecular epidemiology of these viruses at the national level. they found that although the majority of viruses clustered based on key amino acid mutations, neither cpv-2a nor cpv-2b type was monophyletic, suggesting that in the united kingdom at least, the 2a/2b phenotype may have evolved on several occasions. the study also identified two unique amino acid mutations within the united kingdom samples, at residues 139 and 274, which form part of the beta barrel inside the virus and are found on the 3-fold spike, a region of high antigenicity, respectively. the significance of these mutations, however, remains unknown. the study found that all of the potential vaccine breakdowns, which were included in the study, were distinct and showed no consistent mutations, suggesting that there is no group of viruses circulating within the united kingdom that is specifically capable of evading vaccine-induced immunity. this is in agreement with a range of studies that have shown that currently available vaccines protect against the full range of antigenic types identified to date."
pmc4930163,"the study found that the basic reproductive number  r0 , which is the average number of new infections generated by a single infected individual in a susceptible population, is lower in the study population than previously reported results for influenza a virus. the study observed that a higher fraction of dead cells at the end of infection is associated with longer infection durations and greater symptom scores auc, as indicated by the model. the study found that treatments acting on the infection rate or viral production rate are most effective when given before the time of peak viral load, as the model predicts. the study suggests that treatments acting on the virus clearance rate are more effective after the peak viral load, as the model predicts, especially when given before the time of peak viral load. the study recommends taking at least two to three measurements per day, if possible, for fitting mechanistic models of acute viral infections to data, as the measurement error and sensitivity of assays can significantly impact estimates of infection-related quantities."
pmc3332201,"viruses, including bacteriophages, can be visualized under an electron microscope due to their small size and simple composition. they can be found in both eukaryotic and prokaryotic cells. bombyx mori cypovirus 1, a nonenveloped virus, enters the midgut cells of silkworms by recognizing and attaching to the plasma membrane of microvilli, resulting in membrane disruption and virion penetration through the microvilli. severe acute respiratory syndrome  sars  coronavirus, an enveloped virus, enters vero e6 cells by attaching to the cell surface and fusing its envelope with the cell membrane, allowing the nucleocapsids to enter the cell. bacteriophages overcome the barrier of cell walls by releasing their genome into bacteria through the portal pore located at one vertex of the capsid, followed by the ejection of the inner core through the tail hub. viruses take advantage of the structures of eukaryotic and prokaryotic cells to enter them. enveloped viruses enter cells by membrane fusion, while nonenveloped viruses enter through penetration and endocytosis vesicles. bacteriophages use tails to bind to the cell and eject their genome into the host cell."
pmc3298297,"the study found that viral load was high in the febrile period and in patients with pneumonia, with children under the age of 13 years having a significantly longer viral shedding period than older children, even after oseltamivir therapy. the study demonstrated that the duration of viral shedding in pandemic  h1n1  2009 infection was notably longer in children under the age of 13 years than in older children, even after oseltamivir therapy. the study indicated that younger children  under the age of 13 years  may require a longer isolation period than older children, even after oseltamivir therapy. the study suggested that patients with pneumonia may require more aggressive treatment for infection with pandemic  h1n1  2009 virus. the study highlighted that children under the age of 13 years had a significantly longer viral shedding period than older children, even after oseltamivir therapy, which may have implications for the length of isolation required."
pmc4863113,"nbaecp, a nonberberine active ingredient from the traditional chinese medicine c. phellodendri, can inhibit high k+-induced precontractions in healthy and asthmatic airway smooth muscle by inhibiting l-type ca2+ channels. nbaecp can also inhibit precontractions in small bronchial smooth muscle, indicating its potential as a bronchodilator for asthmatics. nbaecp partially inhibits ach-induced contractions in airway smooth muscle by inhibiting l-type ca2+ channels and trpc3 and/or stim/orai channels, but the exact inhibitory mechanism requires further investigation. nbaecp has similar inhibitory roles in both healthy and asthmatic airway smooth muscle, suggesting its potential as a new inhibitor of asthma attacks. nbaecp can inhibit whole airway smooth muscle contractions, as shown by experiments conducted in both healthy and asthmatic smooth muscles."
pmc5356426,"the study found that most camels imported to egypt from sudan and east africa were seropositive for mers-cov  88.7%  and virus genetic materials was detected in 5.3%  39/738  of the imported camels. surprisingly, no human cases of mers-cov infection have been recorded among camel traders from these countries, which may be due to the lack of diagnostic tools and experience for virus detection or maybe due to the rarity of virus transmission from camels to humans. the study also revealed that mers-cov has become ubiquitous in egypt, as the virus is not a newly emerged virus but has only recently been discovered, and it has been circulating for at least three decades. the study found that 91.4% of camels imported from sudan and 75.8% of resident camels were seropositive for mers-cov antibodies. analysis of the results based on age showed that adult camels had higher seroprevalence of mers-cov antibodies  87.3%  compared with young camels  51.8% , and the number of confirmed pcr-positive mers-cov animals was significantly higher in females than males  p<0.05 . nucleotide sequencing of the amplicons from 15 of 41 pcr-positive samples for mers-cov genetic material, followed by phylogenetic analysis, showed that the sequences recovered in the current study in egypt were distinct from those in clade a and b. this finding adds to the knowledge of host range of mers-cov, as except one sheep, all the 109 bats in the study were negative for mers-cov using both serology and molecular assays. the study found that the dromedary camel was the most likely source of mers-cov transmission to humans, as the virus has been circulating in camels for at least three decades, and it is not a newly emerged virus but has only recently been discovered. the study also revealed that the virus may have become ubiquitous in egypt, as inter-market movement and transport stress may partially explain the higher seropositivity and molecular analysis results in samples obtained from the"
pmc362132,"poliomyelitis, a disease that afflicted humans since ancient times, emerged as an epidemic disease due to improved sanitation, causing a delay in infection until later in life when the risk for paralysis is greater. west nile virus, known to cause epidemics in the western hemisphere, originated from a virus isolated in uganda in 1937 but was not encountered in the western hemisphere until 1999. sin nombre virus, the cause of hantavirus pulmonary syndrome, is endemic in the deer mouse population and emerged in humans during a large crop of piñon nuts in 1992-93 due to an increase in the deer mouse population. the emergence of lyme disease followed a similar course, with the infection being present in north america for millennia but only emerging as an epidemic in the northeastern us in the 20th century due to changes in conditions favoring propagation. the re-emergence of dengue virus, previously eliminated from most of central and south america, is attributed to the end of mosquito-eradication programs in the 1970s, resulting in the reintroduction of the virus into the caribbean, the pacific, australia, and the indian subcontinent, as well as its appearance for the first time in china, venezuela, and brazil."
pmc4411640,"the current study in coastal kenya reports a mean duration of rsv shedding of 13.5 days in symptomatic cases, which is higher than previous estimates in other settings. this observation raises questions about the relationship between virus infectiousness and shedding duration and warrants further work relating virus load to shedding duration. the study reveals instances where negative samples arose within rsv infection episodes, even though participants were sampled every 3-4 days regardless of symptoms. this observation suggests that alternative estimation of shedding patterns by calculating the area under the viral load curve might have some additional advantages and should be explored in future. the study finds that prolonged rsv shedding enhances the possibility of person-to-person transmission and makes young children a potential source of community spread of infection, with important implications in the control and prevention of rsv infection. the study observes an interaction between detection of other viruses, such as coronavirus, rhinovirus, and adenovirus in the nasopharynx and rate of recovery from rsv infection. this interaction might be a marker of low immunity associated with poor viral clearance. the study finds that individuals with lower respiratory tract infection shed for longer than those with upper respiratory tract infection, but evidence is controversial on the link between disease severity and viral load. the study reports a prolonged rsv shedding of over 3 weeks' duration in 24  13.4%  individuals, most  70.8%  of whom had symptomatic episodes. these findings suggest that rsv shedding might be repeat infection or persistence and have potential importance on our existing view of acute rsv infection, the development of immunity, and effects on viral transmission. the study observes that individuals aged less than 2 years shed rsv for longer than those aged 2-16 years  1.98 vs. 1.82 times faster . this finding suggests that age might act as a proxy of exposure to rsv in earlier epidemics and highlights the need for further work to explore the relationship between age and rsv shedding duration. the study finds that rsv episodes with concurrent spread in the household were associated with increased recovery rate. however, any conclusions"
pmc3868519,"systemic levels of 26 cytokines, chemokines, and soluble receptors in hfmd patients are significantly different from those in control patients, with increased expression levels of il-6, ifn-γ, and tnf-α, as well as decreased levels of il-12p40, il-1ra, il-17a, and mip-1β. hfmd patients have generally elevated inflammation, with increased expression levels of il-2, il-3, il-15, soluble trail, eotaxin, and il-12p40, and decreased levels of cxcl1, cxcl9, and ccl27. methylprednisolone treatment does not significantly affect the expression levels of hfmd-characteristic inflammatory biomarkers in hfmd patients, with a tendency for increased il-17a levels in cns-complicated hfmd patients. hfmd patients with cardio-respiratory dysfunction have significantly higher levels of il-1β, il-1ra, and g-csf in comparison to hfmd patients without cardio-respiratory dysfunction. hfmd patients without complications still have significantly more neutrophils and fewer lymphocytes than control patients, indicating altered leukocyte numbers in peripheral blood due to differential chemotactic functions of chemokines."
pmc4838766,"a study involving 34 dogs with chronic diarrhoea found that measuring serum c4 concentration is feasible in dogs and may indicate the presence of bile acid malabsorption, with a cut-off value of 187.2 nmol/l on the receiver operating characteristic curve resulting in a specificity of 100% and a sensitivity of 25%. the study found that three out of 17 dogs  17.6%  with chronic diarrhoea had a significantly elevated serum c4 concentration, suggesting that bile acid malabsorption may occur in some cases. the study also found that measuring serum c4 concentration may offer a potential screening test to increase clinical suspicion of bile acid malabsorption in dogs with chronic diarrhoea, with a high positive predictive value but a low sensitivity. the study found that there was no evidence of an association between the clinical severity of the disease, as measured by the clinical activity index, and serum c4 concentration. the study also highlighted that measuring serum c4 concentration was feasible in dogs and may indicate the presence of bile acid malabsorption, but larger studies are needed to define the true prevalence in dogs, as the prevalence in this study is speculative."
pmc111476,"the study found that mice lacking cd4+ t cells had less severe central nervous system  cns  inflammation and demyelination following infection with the cns-tropic strain of mouse hepatitis virus  mhv  than wild-type controls. this suggests a central role for cd4+ t cells in the early stages of cns disease following viral infection in the amplification of inflammation and, ultimately, demyelination by promoting the entry of macrophages into the cns. the study identified rantes as a chemokine that plays a prominent role in both regulating leukocyte entry into the cns and contributing to the pathogenesis of mhv-induced cns inflammation and demyelination. rantes expression is compromised in cd4-deficient mice, resulting in lower levels of mrna transcripts and protein than in cd8-deficient and wild-type mice. this decrease in rantes levels correlates with the reduced severity of macrophage infiltration and demyelination in the cns of cd4-deficient mice. the study found that mice treated with neutralizing anti-rantes antibodies had delayed viral clearance from the cns and decreased cellular infiltration, similar to the phenotype observed in cd4-deficient mice. this supports the argument that targeting chemokines may be a novel therapeutic intervention strategy to treat human cns inflammatory diseases, including multiple sclerosis  ms . the study suggests that rantes exerts a potent chemotactic effect on both cd4+ and cd8+ t cells as well as macrophages, and its expression is compromised in cd4-deficient mice, resulting in lower levels of mrna transcripts and protein than in cd8-deficient and wild-type mice. this decrease in rantes levels correlates with the reduced severity of macrophage infiltration and demyelination in the cns of cd4-deficient mice. the study supports and extends earlier studies that have suggested that targeting chemokines may be a novel therapeutic intervention strategy to treat human cns inflammatory diseases, including ms. rantes expression"
pmc2754517,"abt, commonly used to treat acute anemia in intensive care unit  icu  patients, is associated with a high incidence of transfusion-related acute lung injury  trali , transfusion-associated circulatory overload  taco , and transmission of infectious agents, including hepatitis b  hbv  and c  hcv . trali, a non-cardiogenic pulmonary edema resulting from immune reactivity of certain leukocyte antibodies, is a serious adverse consequence of blood product transfusion, with clinical and radiological manifestations similar to those of trali. the estimated rate of postoperative pneumonia  pop  is increased in patients who receive allogeneic blood transfusion  abt , and trali is a major risk factor for the development of pop. preoperative autologous blood donation  pabd  is a widely practiced form of transfusion support, which can be used safely in children and elderly populations, and is indicated in elective surgery if the risk of abt is >20%. infusions of autologous rbcs loaded with dexamethasone-phosphate  dex 21-p  are a feasible technique for the treatment of steroid-dependent chronic diseases  cd , and can maintain patients in clinical remission and allow steroid withdrawal, with a low incidence of serious side effects."
